"","Paper_ID","Data_ID","Author","Year_of_publication","Title","Species","Phylogeny","Average_lifespan","Age_assortative_mating","Social_mating_system","Sample_size","When_in_offspring_life_effect_was_measured","Fitness","Effect","Parent_sex","Offspring_sex","Type_of_transmissions","Slope_shape","Slope_graph_report","Slope_Value","R^2(squared_multiple_correlation)","Lower_CI","Upper_CI","S.E.","t_value","No._of_parameters","df","Effect_size","Effect_size_calculation","SE_of_effect_size","var_r"
"1","1","1","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",639,"Lifetime","LRS","Recuritment","Female","Female","Mother_daughter","Linear","NA",-0.14,NA,-0.28,-0.02,0.0663265306122449,-2.11076923076923,6,632,-0.0836674985960562,"Shinichi",0.0393440825713119,0.00154795683337821
"2","1","2","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",639,"Lifetime","LRS","Recuritment","Female","Male","Mother_son","Linear","NA",0.04,NA,-0.11,0.18,0.0739795918367347,0.540689655172414,6,632,0.0215025070321035,"Shinichi",0.0396031233041454,0.00156840737544335
"3","1","3","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",639,"Lifetime","LRS","Recuritment","Male","Female","Father_daughter","LInear","NA",0.02,NA,-0.1,0.13,0.0586734693877551,0.340869565217391,6,632,0.0135578170452929,"Shinichi",0.0396141595956998,0.00156928164047358
"4","1","4","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",639,"Lifetime","LRS","Recuritment","Male","Male","Father_son","Linear","NA",-0.23,NA,-0.38,-0.09,0.0739795918367347,-3.10896551724138,6,632,-0.122733043542183,"Shinichi",0.0390246089501498,0.00152292010371211
"5","1","5","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",453,"Lifetime","LRS","Annual Productivity","Foster Female","Mixed","Foster_mother","Linear","NA",-0.12,NA,-0.26,0.03,0.0739795918367347,-1.62206896551724,4,448,-0.0764115010127734,"Shinichi",0.0468132264661192,0.00219147817216817
"6","1","6","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",453,"Lifetime","LRS","Annual Productivity","Female","Mixed","Maternal","Linear","NA",-0.11,NA,-0.23,0,0.0586734693877551,-1.87478260869565,4,448,-0.0882297230961067,"Shinichi",0.0467216038976435,0.00218290827076829
"7","1","7","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",385,"Lifetime","LRS","Annual Productivity","Foster Male","Mixed","Foster_father","Linear","NA",-0.06,NA,-0.2,0.08,0.0714285714285714,-0.84,4,380,-0.0430511397401975,"Shinichi",0.0510029086824272,0.00260129669406801
"8","1","8","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",385,"Lifetime","LRS","Annual Productivity","Male","Mixed","Paternal","Linear","NA",-0.14,NA,-0.28,0,0.0714285714285714,-1.96,4,380,-0.100041466844457,"Shinichi",0.0505862130412354,0.00255896494985325
"9","1","9","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",564,"Lifetime","LRS","Annual Productivity","Female","Mixed","Maternal","Linear","NA",-0.1,NA,-0.2,-0.01,0.048469387755102,-2.06315789473684,3,560,-0.0868548619534606,"Shinichi",0.0418642394541394,0.00175261454507352
"10","1","10","(Schroeder et al., 2015)","2015","Reduced fitness in progeny from old parents in a natural population","House Sparrows","passer domesticus","3 yrs","NA","Monogamy",521,"Lifetime","LRS","Annual Productivity","Male","Mixed","Paternal","Linear","NA",-0.2,NA,-0.32,-0.09,0.0586734693877551,-3.40869565217391,3,517,-0.148257529048767,"Shinichi",0.0429303002687682,0.0018430106811666
