,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
1,"Bouwhuis, S and Charmantier, A and Verhulst, S and Sheldon, BC",Trans-generational effects on ageing in a wild bird population,2010,Y,,Y,,
2,"Reichert, S and Berger, V and Jackson, J and Chapman, SN and Htut, W and Mar, KU and Lummaa, V",Maternal age at birth shapes offspring life-history trajectory across generations in long-lived Asian elephants,2020,N,Not bird,,,
3,"Bowers, EK and Sakaluk, SK and Thompson, CF",Interactive effects of parental age on offspring fitness and age-assortative mating in a wild bird,2017,Y,,Y,,
4,"Reid, JM and Bignal, EM and Bignal, S and McCracken, DI and Bogdanova, MI and Monaghan, P","Parent age, lifespan and offspring survival: structured variation in life history in a wild population",2010,Y,,NA,,
5,"Nguyen, TTX and Moehring, AJ",Cross-generational comparison of reproductive success in recently caught strains of Drosophila melanogaster,2017,N,Not bird,,,
6,"Berger, V and Reichert, S and Lahdenpera, M and Jackson, J and Htut, W and Lummaa, V",The elephant in the family: Costs and benefits of elder siblings on younger offspring life-history trajectory in a matrilineal mammal,2021,N,Not bird,,,
7,"Peron, G and Gimenez, O and Charmantier, A and Gaillard, JM and Crochet, PA",Age at the onset of senescence in birds and mammals is predicted by early-life performance,2010,N,Not trans-generational,,,
8,"Ivimey-Cook, E and Moorad, J",The diversity of maternal-age effects upon pre-adult survival across animal species,2020,TBC - N,Can't find appropriate bird data,N,,
9,"Kroeger, SB and Blumstein, DT and Armitage, KB and Reid, JM and Martin, JGA",Older mothers produce more successful daughters,2020,N,Not bird,,,
10,"Jones, OR and Gaillard, JM and Tuljapurkar, S and Alho, JS and Armitage, KB and Becker, PH and Bize, P and Brommer, J and Charmantier, A and Charpentier, M and Clutton-Brock, T and Dobson, FS and Festa-Bianchet, M and Gustafsson, L and Jensen, H and Jones, CG and Lillandt, BG and McCleery, R and Merila, J and Neuhaus, P and Nicoll, MAC and Norris, K and Oli, MK and Pemberton, J and Pietiainen, H and Ringsby, TH and Roulin, A and Saether, BE and Setchell, JM and Sheldon, BC and Thompson, PM and Weimerskirch, H and Wickings, EJ and Coulson, T",Senescence rates are determined by ranking on the fast-slow life-history continuum,2008,N,Not trans-generational,,,
11,"Bashey, F",Cross-generational environmental effects and the evolution of offspring size in the Trinidadian guppy Poecilia reticulata,2006,N,Not bird,,,
12,"Tettamanti, F and Witvliet, W and Bize, P",Selection on age at first and at last reproduction in the long-lived Alpine Swift Apus melba,2012,N,Not trans-generational,,,
13,"Keller, LF and Reid, JM and Arcese, P",Testing evolutionary models of senescence in a natural population: age and inbreeding effects on fitness components in song sparrows,2008,N,Not trans-generational,,,
14,"Benton, TG and St Clair, JJH and Plaistow, SJ",Maternal effects mediated by maternal age: from life histories to population dynamics,2008,N,Not bird,,,
15,"Bonamour, S and Chevin, LM and Reale, D and Teplitsky, C and Charmantier, A",Age-dependent phenological plasticity in a wild bird,2020,N,Not trans-generational,,,
16,"Martin, TE",Age-related mortality explains life history strategies of tropical and temperate songbirds,2015,N,Not trans-generational,,,
17,"Cayuela, H and Lemaitre, JF and Bonnaire, E and Pichenot, J and Schmidt, BR",Population position along the fast-slow life-history continuum predicts intraspecific variation in actuarial senescence,2020,N,Not bird,,,
18,"Lonsdorf, EV and Stanton, MA and Pusey, AE and Murray, CM","Sources of variation in weaned age among wild chimpanzees in Gombe National Park, Tanzania",2020,N,Not bird,,,
19,"Gillespie, DOS and Russell, AF and Lummaa, V",THE EFFECT OF MATERNAL AGE AND REPRODUCTIVE HISTORY ON OFFSPRING SURVIVAL AND LIFETIME REPRODUCTION IN PREINDUSTRIAL HUMANS,2013,N,Not bird,,,
20,"Lee, DE and Warzybok, PM and Bradley, RW",RECRUITMENT OF CASSIN'S AUKLET (PTYCHORAMPHUS ALEUTICUS): INDIVIDUAL AGE AND PARENTAL AGE EFFECTS,2012,TBC - YNA,,NA,,
21,"Cotto, O and Massot, M and Ronce, O and Clobert, J",Dispersal as a source of variation in age-specific reproductive strategies in a wild population of lizards,2015,N,Not bird,,,
22,"Shpak, M",Selection against demographic stochasticity in age-structured populations,2007,N,Not trans-generational,,,
23,"Gillespie, DOS and Trotter, MV and Krishna-Kumar, S and Tuljapurkar, SD",BIRTH-ORDER DIFFERENCES CAN DRIVE NATURAL SELECTION ON AGING,2014,N,Not trans-generational,,,
24,"Kindsvater, HK and Bonsall, MB and Alonzo, SH",Survival costs of reproduction predict age-dependent variation in maternal investment,2011,N,Unclear test objects,,Can be used in discussion?,
25,"Kaar, P and Jokela, J",Natural selection on age-specific fertilities in human females: comparison of individual-level fitness measures,1998,N,Not bird,,,
26,"Badas, EP and Martinez, J and Cachafeiro, JRD and Miranda, F and Figuerola, J and Merino, S",Ageing and reproduction: antioxidant supplementation alleviates telomere loss in wild birds,2015,N,Not wild & trans-generational,,,
27,"Cribiu, P and Devaux, A and Garnero, L and Abbaci, K and Bastide, T and Delorme, N and Queau, H and Degli Esposti, D and Ravanat, JL and Geffard, O and Bony, S and Chaumot, A","A ""Population Dynamics"" Perspective on the Delayed Life-History Effects of Environmental Contaminations: An Illustration with a Preliminary Study of Cadmium Transgenerational Effects over Three Generations in the CrustaceanGammarus",2020,N,Not bird,,,
28,"Patrick, SC and Weimerskirch, H",Senescence rates and late adulthood reproductive success are strongly influenced by personality in a long-lived seabird,2015,N,Not trans-generational,,,
29,"Tate, AT and Graham, AL",Trans-generational priming of resistance in wild flour beetles reflects the primed phenotypes of laboratory populations and is inhibited by co-infection with a common parasite,2015,N,Not bird,,,
30,"Nitsch, A and Faurie, C and Lummaa, V",Are elder siblings helpers or competitors? Antagonistic fitness effects of sibling interactions in humans,2013,N,Not bird & trans-generational,,,
31,"HOLMES, DJ and AUSTAD, SN",THE EVOLUTION OF AVIAN SENESCENCE PATTERNS - IMPLICATIONS FOR UNDERSTANDING PRIMARY AGING PROCESSES,1995,N,Not trans-generational,,,
32,"Hoelzl, F and Smith, S and Cornils, JS and Aydinonat, D and Bieber, C and Ruf, T","Telomeres are elongated in older individuals in a hibernating rodent, the edible dormouse (Glis glis)",2016,N,Not bird,,,
33,"Kaitala, V and Tesar, D and Ranta, E",Semelparity versus iteroparity and the number of age groups,2002,N,Not bird & trans-generational,,,
