Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Carvajal M.A., Alaniz A.J., Vergara P.M., Hernández-Valderrama C., Fierro A., Toledo G., Gamin J.","57200859657;57195269703;55545862883;57279503100;57200877793;57223139753;57279063600;","Climate-induced tree senescence leads to a transient increase in reproductive success of a large woodpecker species",2022,"Science of the Total Environment","806",,"150604","","",,,"10.1016/j.scitotenv.2021.150604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116033816&doi=10.1016%2fj.scitotenv.2021.150604&partnerID=40&md5=b75172193b1f499088e6c9dd9511cf60","Climate change-induced mortality of trees is a concerning phenomenon for global forest ecosystems. The rapid decay and death of long-lived trees can significantly impact forest dynamics, with effects that transmit through ecological networks, becoming more evident in organisms occupying high trophic levels, such as large and specialized woodpecker species. However, understanding how populations of high trophic level species respond to climate change is still a challenge. In this study it was analyzed 32-year data of social groups of the Magellanic Woodpecker (Campephilus magellanicus) in North Patagonia, a region facing increasingly frequent droughts and increased temperatures. A positive trend in the size of woodpecker social groups as a response to climate-induced tree senescence was tested. A causal structural equation model examining climate- tree senescence- woodpecker relationships was used. Increasing nonlinear trends and positive interannual growth rates (>10%) for tree senescence and group size were found. Lowland forest sites had higher levels of tree senescence and more numerous social groups. The causal model supported the positive effect of mean temperature on tree senescence and the positive association of woodpeckers with tree senescence. These results provide evidence of a climate-induced increase in tree senescence that causes an increase in the size of woodpecker social groups. It is suggested that accelerated decay and mortality of trees in the northern Patagonian forests will decrease the stocks of deadwood in the long term, threatening the persistence of this large woodpecker species. © 2021 Elsevier B.V.",Article,"Final","",Scopus,2-s2.0-85116033816
"Waterman R., Sultan S.E.","57205729070;7102692225;","Transgenerational effects of parent plant competition on offspring development in contrasting conditions",2021,"Ecology","102","12","e03531","","",,1,"10.1002/ecy.3531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116460574&doi=10.1002%2fecy.3531&partnerID=40&md5=81054a1fd6c0adb8ca70359a78d71bd2","Conditions during a parent’s lifetime can induce phenotypic changes in offspring, providing a potentially important source of variation in natural populations. Yet, to date, biotic factors have seldom been tested as sources of transgenerational effects in plants. In a greenhouse experiment with the generalist annual Polygonum persicaria, we tested for effects of parental competition on offspring by growing isogenic parent plants either individually or in competitive arrays and comparing their seedling progeny in contrasting growth environments. Offspring of competing vs. non-competing parents showed significantly altered development, resulting in greater biomass and total leaf area, but only when growing in neighbor or simulated canopy shade, rather than sunny dry conditions. A follow-up experiment in which parent plants instead competed in dry soil found that offspring in dry soil had slightly reduced growth, both with and without competitors. In neither experiment were effects of parental competition explained by changes in seed provisioning, suggesting a more complex mode of regulatory inheritance. We hypothesize that parental competition in moist soil (i.e., primarily for light) confers specific developmental effects that are beneficial for light-limited offspring, while parental competition in dry soil (i.e., primarily for belowground resources) produces offspring of slightly lower overall quality. Together, these results indicate that competitive conditions during the parental generation can contribute significantly to offspring variation, but these transgenerational effects will depend on the abiotic resources available to both parents and progeny. © 2021 by the Ecological Society of America",Article,"Final","",Scopus,2-s2.0-85116460574
"Dureuil M., Froese R.","56919683800;7004612140;","A natural constant predicts survival to maximum age",2021,"Communications Biology","4","1","641","","",,,"10.1038/s42003-021-02172-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107388598&doi=10.1038%2fs42003-021-02172-4&partnerID=40&md5=94c1d5cab2a1921f15c6d82750a6a362","Information about the survival of species is important in many ecological applications. Yet, the estimation of a species’ natural mortality rate M remains a major problem in the management and conservation of wild populations, often circumvented by applying empirical equations that relate mortality to other traits that are more easily observed. We show that mean adult M can be approximated from the general law of decay if the average maximum age reached by individuals in a cohort is known. This is possible because the proportion P of individuals surviving to the average maximum age in a cohort is surprisingly similar across a wide range of examined species at 1.5%. The likely reason for the narrow range of P is a universal increase in the rate of mortality near the end of life, providing strong evidence that the evolutionary theories of ageing are the norm in natural populations. © 2021, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85107388598
"Dani K.G.S., Fineschi S., Michelozzi M., Trivellini A., Pollastri S., Loreto F.","57193783115;7005131209;6603067989;35306042700;24403065200;7005565383;","Diversification of petal monoterpene profiles during floral development and senescence in wild roses: relationships among geraniol content, petal colour, and floral lifespan",2021,"Oecologia","197","4",,"957","969",,2,"10.1007/s00442-020-04710-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088627331&doi=10.1007%2fs00442-020-04710-z&partnerID=40&md5=170a2bca4ed4ae4ae96081ce4a503eb3","Wild roses store and emit a large array of fragrant monoterpenes from their petals. Maximisation of fragrance coincides with floral maturation in many angiosperms, which enhances pollination efficiency, reduces floral predation, and improves plant fitness. We hypothesized that petal monoterpenes serve additional lifelong functions such as limiting metabolic damage from reactive oxygen species (ROS), and altering isoprenoid hormonal abundance to increase floral lifespan. Petal monoterpenes were quantified at three floral life-stages (unopened bud, open mature, and senescent) in 57 rose species and 16 subspecies originating from Asia, America, and Europe, and relationships among monoterpene richness, petal colour, ROS, hormones, and floral lifespan were analysed within a phylogenetic context. Three distinct types of petal monoterpene profiles, revealing significant developmental and functional differences, were identified: Type A, species where monoterpene abundance peaked in open mature flowers depleting thereafter; Type B, where monoterpenes peaked in senescing flowers increasing from bud stage, and a rare Type C (8 species) where monoterpenes depleted from bud stage to senescence. Cyclic monoterpenes peaked during early floral development, whereas acyclic monoterpenes (dominated by geraniol and its derivatives, often 100-fold more abundant than other monoterpenes) peaked during floral maturation in Type A and B roses. Early-diverging roses were geraniol-poor (often Type C) and white-petalled. Lifetime changes in hydrogen peroxide (H2O2) revealed a significant negative regression with the levels of petal geraniol at all floral life-stages. Geraniol-poor Type C roses also showed higher cytokinins (in buds) and abscisic acid (in mature petals), and significantly shorter floral lifespan compared with geraniol-rich Type A and B roses. We conclude that geraniol enrichment, intensification of petal colour, and lower potential for H2O2-related oxidative damage characterise and likely contribute to longer floral lifespan in monoterpene-rich wild roses. © 2020, The Author(s).",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85088627331
"Brown A.M., Wood E.M., Capilla-Lasheras P., Harrison X.A., Young A.J.","57221773917;57204820805;57194831382;36117465700;55673773200;","Longitudinal evidence that older parents produce offspring with longer telomeres in a wild social bird",2021,"Biology Letters","17","10","20210409","","",,,"10.1098/rsbl.2021.0409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119389947&doi=10.1098%2frsbl.2021.0409&partnerID=40&md5=d7eeab93c38e8770427a092baf810b99","As telomere length (TL) often predicts survival and lifespan, there is considerable interest in the origins of inter-individual variation in TL. Cross-generational effects of parental age on offspring TL are thought to be a key source of variation, but the rarity of longitudinal studies that examine the telomeres of successive offspring born throughout the lives of parents leaves such effects poorly understood. Here, we exploit TL measures of successive offspring produced throughout the long breeding tenures of parents in wild white-browed sparrow weaver (Plocepasser mahali) societies, to isolate the effects of within-parent changes in age on offspring TLs. Our analyses reveal the first evidence to date of a positive within-parent effect of advancing age on offspring TL: as individual parents age, they produce offspring with longer telomeres (a modest effect that persists into offspring adulthood). We consider the potential for pre- and post-natal mechanisms to explain our findings. As telomere attrition predicts offspring survival to adulthood in this species, this positive parental age effect could impact parent and offspring fitness if it arose via differential telomere attrition during offspring development. Our findings support the view that cross-generational effects of parental age can be a source of inter-individual variation in TL. © 2021 The Author(s).",Article,"Final","",Scopus,2-s2.0-85119389947
"Musálek M., Sedlak P., Dvořáková H., Vážná A., Novák J., Kokštejn J., Vokounová Š., Beránková A., Pařízková J.","55507376900;57200973859;56825462400;57285102400;57216708365;55924159200;57205363388;57283783800;7006475099;","Insufficient physical fitness and deficits in basic eating habits in normal-weight obese children are apparent from pre-school age or sooner",2021,"Nutrients","13","10","3464","","",,,"10.3390/nu13103464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116396016&doi=10.3390%2fnu13103464&partnerID=40&md5=828a23a37cac65b10a80675176c79c93","Normal-weight obesity appears to be an extended diagnosis/syndrome associated with insufficient physical fitness levels and inadequate eating habits at least from school years. However, its relation to long term health parameters in pre-school children remains unknown, even though pre-school age is crucial for the determining healthy lifelong habits. Therefore, the aim of the current study was to investigate the differences in physical fitness level and basic eating habits between normal-weight obese, normal-weight non-obese, and overweight and obese preschoolers. The research sample consisted of 188 preschoolers aged 4.0–6.9 years (Mage = 5.52 ± 0.8 year), normalweight obese = 25; normal-weight non-obese = 143, overweight and obese = 20. Body composition was measured using bio-impedance InBody230. Six tests assessed the physical fitness level: Situps; standing long jump; shuttle running 4 ₓ 5 meters; throwing with a tennis ball; multistage fitness tests; sit and reach. A four-item eating habits questionnaire for parents focusing on breakfast regularity, consumption of sweet foods and drinks, selection of food and attitude towards eating was used. A non-parametric analysis of variance and Fisher’s exact test along with suitable effect sizes were used for data processing of physical fitness tests and the basic eating habits questionnaire, respectively. Normal-weight obese children performed significantly worse (from p = 0.03 to p < 0.001, ES !2-G = low to medium) in muscular fitness, cardiorespiratory fitness and running agility compared to normal-weight non-obese counterparts and did not significantly differ in themajority of physical fitness performance tests from overweight and obese peers. In basic eating habits, normal-weight obese boys preferred significantly more sweet foods and drinks (p = 0.003 ES = 0.35, large), while normal-weight obese girls had significantly more negative attitude towards eating (p = 0.002 ES = 0.33, large) in comparison to their normal-weight non-obese peers. Normal-weight obesity seems to develop from early childhood and is associated with low physical fitness and deficits in eating habits which might inhibit the natural necessity for physically active life from pre-school age or sooner. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116396016
"Väli Ü., Kalvāns A., Tuvi J.","6602987363;57225145083;22136646600;","Apparent survival and dispersal in a recovered Osprey population: effects of age, sex and social status",2021,"Journal of Ornithology","162","4",,"1025","1034",,1,"10.1007/s10336-021-01908-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109279962&doi=10.1007%2fs10336-021-01908-7&partnerID=40&md5=e024deb7fc19a00b54d8373301be36d9","Dispersal and survival are important determinants of population dynamics and should be monitored in both threatened and recovered populations. We used colour ringing with a capture–mark–recapture approach to estimate the age distribution, survival and dispersal in a recently recovered Baltic Osprey Pandion haliaetus population. The mean age of breeding Ospreys was 5.5 years (5.5 years in males and 5.4 years in females). The mean age of floaters was 3.1 years (3.3 years in males and 2.9 years in females). The re-sighting probability was best modelled as a time-independent function of five age classes separately for both sexes, and it increased with age. In females, the re-sighting probability increased from 0.03 in 1-year-old birds to 0.77 at 5 years and older; in males, it increased from 0.01 to 0.54. The best models for apparent survival included two age classes. Survival was lower for 1-year-old females (0.14) than males (0.27); the survival difference was retained at > 1 year of age (females 0.64 and males 0.74). Apparent survival (0.72) was similar for satellite-tracked adult Ospreys. Floaters were rare; however, their survival (0.70) was similar to that of breeders. Mean natal dispersal distances were significantly longer for females (164 km) than for males (47 km). Breeding dispersal was recorded in 5% of breeders (mean distance, 11.1 km). The relatively high (apparent) mortality in the Baltic population may be partly explained by competition in breeding grounds and threats during migration and wintering. However, permanent emigration may contribute to the low apparent survival. © 2021, Deutsche Ornithologen-Gesellschaft e.V.",Article,"Final","",Scopus,2-s2.0-85109279962
"Wijenayake P.R., Hiroshima T.","57226549304;16480346600;","Age‐based survival analysis of coniferous and broad‐leaved trees: A case study of preserved forests in Northern Japan",2021,"Forests","12","8","1014","","",,,"10.3390/f12081014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111905888&doi=10.3390%2ff12081014&partnerID=40&md5=2ead2f62cadc5658f67b2ec1cd4a8354","Scientifically sound methods are essential to estimate the survival of trees, as they can substantially support sustainable management of natural forest resources. Tree mortality assess-ments have mainly been based on forest inventories and are mostly limited to planted forests; few studies have conducted age‐based survival analyses in natural forests. We performed survival analyses of individual tree populations in natural forest stands to evaluate differences in the survival of two coniferous species (Abies sachalinensis (F. Schmidt) Mast. and Picea jezoensis var. microsperma) and all broad‐leaved species. We used tree rings and census data from four preserved permanent plots in pan‐mixed and sub‐boreal natural forests obtained over 30 years (1989–2019). All living trees (diameter at breast height ≥ 5 cm in 1989) were targeted to identify tree ages using a Resisto-graph. Periodical tree age data, for a 10‐year age class, were obtained during three consecutive ob-servation periods. Mortality and recruitment changes were recorded to analyze multi‐temporal age distributions and mean lifetimes. Non‐parametric survival analyses revealed a multi‐modal age distribution and exponential shapes. There were no significant differences among survival probabilities of species in different periods, except for broad‐leaved species, which had longer mean lifetimes in each period than coniferous species. The estimated practical mean lifetime and diameter at breast height values of each coniferous and broad‐leaved tree can be applied as an early identification system for trees likely to die to facilitate the Stand‐based Silvicultural Management System of the University of Tokyo Hokkaido Forest. However, the survival probabilities estimated in this study should be used carefully in long‐term forest dynamic predictions because the analysis did not in-clude the effects of catastrophic disturbances, which might significantly influence forests. The mortality patterns and survival probabilities reported in this study are valuable for understanding the stand dynamics of natural forests associated with the mortality of individual tree populations. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85111905888
"Colchero F., Eckardt W., Stoinski T.","25821810300;6602621915;35580637100;","Evidence of demographic buffering in an endangered great ape: Social buffering on immature survival and the role of refined sex-age classes on population growth rate",2021,"Journal of Animal Ecology","90","7",,"1701","1713",,1,"10.1111/1365-2656.13486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104510130&doi=10.1111%2f1365-2656.13486&partnerID=40&md5=bac7906f4db08ee89b277b7790b0c71b","Theoretical and empirical research has shown that increased variability in demographic rates often results in a decline in the population growth rate. In order to reduce the adverse effects of increased variability, life-history theory predicts that demographic rates that contribute disproportionately to population growth should be buffered against environmental variation. To date, evidence of demographic buffering is still equivocal and limited to analyses on a reduced number of age classes (e.g. juveniles and adults), and on single sex models. Here we used Bayesian inference models for age-specific survival and fecundity on a long-term dataset of wild mountain gorillas. We used these estimates to parameterize two-sex, age-specific stochastic population projection models that accounted for the yearly covariation between demographic rates. We estimated the sensitivity of the long-run stochastic population growth rate to reductions in survival and fecundity on ages belonging to nine sex-age classes for survival and three age classes for female fecundity. We found a statistically significant negative linear relationship between the sensitivities and variances of demographic rates, with strong demographic buffering on young adult female survival and low buffering on older female and silverback survival and female fecundity. We found moderate buffering on all immature stages and on prime-age females. Previous research on long-lived slow species has found high buffering of prime-age female survival and low buffering on immature survival and fecundity. Our results suggest that the moderate buffering of the immature stages can be partially due to the mountain gorilla social system and the relative stability of their environment. Our results provide clear support for the demographic buffering hypothesis and its predicted effects on species at the slow end of the slow–fast life-history continuum, but with the surprising outcome of moderate social buffering on the survival of immature stages. We also demonstrate how increasing the number of sex-age classes can greatly improve the detection of demographic buffering in wild populations. © 2021 British Ecological Society.",Article,"Final","",Scopus,2-s2.0-85104510130
"Robinson R.A., Wilson M.","7403880221;57212203940;","Contrasting long-term trends in age-specific survival of Peregrine Falcons (Falco peregrinus) in Britain using smoothed estimates of recovery probabilities",2021,"Ibis","163","3",,"890","898",,1,"10.1111/ibi.12943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101804544&doi=10.1111%2fibi.12943&partnerID=40&md5=ff4f3f11b1072b948c5fbf0c60fa62ff","Peregrine Falcons Falco peregrinus are an iconic species of long-standing conservation concern as a result of historical patterns of persecution and dramatic pesticide-related population declines in many populations during the second half of the 20th century. Although the role of reduced productivity in these declines is well known, the temporal patterns in survival are much less well characterized. We estimate survival probabilities for Peregrines in Britain in the period 1975–2018 from reports of ringed birds found dead, using a non-parametric smoothing spline to account for non-linear temporal variation in recovery probabilities. During this time the population increased from around 350 pairs to 1628 pairs. There was little evidence of a temporal trend in the survival probabilities of adult birds since the mid-1970s, but survival of first-year birds appears to have decreased. Our estimates suggest that increases in the breeding population are further limited by unreported sources of mortality or by density-dependent processes, highlighting the need for better data on immature survival and recruitment. Modelling recovery rates using a spline, rather than independent annual values, improved estimation efficiency with lower credible intervals obtained for the adult annual estimates. © 2021 British Ornithologists' Union",Article,"Final","",Scopus,2-s2.0-85101804544
